Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Kheladi,Moulik Adhikar Party,0,Illiterate,47,4184500,0
Nikesh,AAP, 1 ,10th Pass,48,2738750,0
Nikhil Kumar,Aazad Samaj Party (Kanshi Ram), 1 ,12th Pass,25,1298116,0
Premlata,Vikassheel Insaan Party,0,Post Graduate,32,12212677,2251000
R.C. Gond,Lok Dal,0,Post Graduate,67,16670816,0
Ram Bachan,IND,0,Graduate Professional,74,15350171,442576
Ram Chet,Bahujan Mukti Party, 2 ,Post Graduate,46,2913000,4520000
Sattyambada,INC,0,Graduate,48,4193683,2970000
Shailendra Kumar,Voters Party International,0,Graduate,27,55534,0
Tribhuwan Dutt,SP, 1 ,12th Pass,56,39689413,10450902
Triveniram,BJP, 1 ,Literate,69,3000174,6600
Dr. Ragini Pathak,INC,0,Doctorate,34,23969742,4281743
Dr. Rajesh Singh,BSP,0,Doctorate,49,9901322,0
Jay Singh Rana,Bahujan Mukti Party,0,Graduate,31,53000,0
Nitesh Kumar,Vikassheel Insaan Party,0,Graduate,32,2486000,0
Raghvendra Mohan,IND,0,Post Graduate,35,11850801,0
Rajendra Kumar,AAP,0,Post Graduate,50,8618991,0
Rakesh Pandey,SP, 1 ,8th Pass,68,634647716,232288591
Ram Boojh Maurya,Moulik Adhikar Party,0,Graduate,70,21805000,0
Ramesh Kumar Mishra,JD(U),0,Post Graduate,40,4946180,414661
Subash Chandra Rai,BJP, 1 ,Post Graduate,56,24772323,400000
Upendra Nath,Voters Party International,0,8th Pass,46,159232,0
Vinay Kumar Maurya,Jan Adhikar Party,0,Graduate,37,419666,0
Bhanu Pratap,IND, 2 ,8th Pass,51,10311520,0
Brijesh Kumar,IND,0,5th Pass,36,635900,0
Chandra Prakash Verma,BSP, 4 ,Post Graduate,50,15132612,0
Chandresh,Aazad Samaj Party (Kanshi Ram), 1 ,Graduate,45,566515,0
Dharmraj Nishad,BJP, 1 ,Literate,60,14973865,307792
Durvijay Pal,Voters Party International,0,Post Graduate,35,951117,1595803
Jitendra Kumar,Bahujan Mukti Party, 2 ,12th Pass,37,11205500,0
Manoj Kumar,Rashtriya Jan Sahyog Party,0,Graduate,33,50000,0
Mool Chand Jaiswal,AAP,0,Graduate,36,18048115,5300000
Priyanka,INC, 1 ,Graduate Professional,34,7436569,300000
Ram Achal Rajbhar,SP, 4 ,Graduate,67,16817299,0
Suresh Kumar,Moulik Adhikar Party,0,Graduate,37,1019350,0
Amarnath Pandey,AAP,0,10th Pass,43,20886000,0
Harinam Singh,IND,0,8th Pass,51,1949216,171879
Manoj Kumar,Akhil Bhartiya Jansatta Party,0,Graduate,55,1543887,0
